Date,Visitor,VGoal,Home,HGoal,SO
2023-10-10,Chicago Blackhawks,4,Pittsburgh Penguins,2,
2023-10-10,Nashville Predators,3,Tampa Bay Lightning,5,
2023-10-10,Seattle Kraken,1,Vegas Golden Knights,4,
2023-10-11,Chicago Blackhawks,1,Boston Bruins,3,
2023-10-11,Ottawa Senators,3,Carolina Hurricanes,5,
2023-10-11,Winnipeg Jets,3,Calgary Flames,5,
2023-10-11,Colorado Avalanche,5,Los Angeles Kings,2,
2023-10-11,Montreal Canadiens,5,Toronto Maple Leafs,6,SO
2023-10-11,Edmonton Oilers,1,Vancouver Canucks,8,
2023-10-12,New York Rangers,5,Buffalo Sabres,1,
2023-10-12,Philadelphia Flyers,4,Columbus Blue Jackets,2,
2023-10-12,St. Louis Blues,1,Dallas Stars,2,SO
2023-10-12,Florida Panthers,0,Minnesota Wild,2,
2023-10-12,Detroit Red Wings,3,New Jersey Devils,4,
2023-10-12,Seattle Kraken,0,Nashville Predators,3,
2023-10-12,Vegas Golden Knights,4,San Jose Sharks,1,
2023-10-13,Arizona Coyotes,4,New Jersey Devils,3,SO
2023-10-13,Pittsburgh Penguins,4,Washington Capitals,0,
2023-10-14,Nashville Predators,2,Boston Bruins,3,
2023-10-14,New York Rangers,3,Columbus Blue Jackets,5,
2023-10-14,Tampa Bay Lightning,4,Detroit Red Wings,6,
2023-10-14,Vancouver Canucks,4,Edmonton Oilers,3,
2023-10-14,Carolina Hurricanes,6,Los Angeles Kings,5,SO
2023-10-14,Chicago Blackhawks,2,Montreal Canadiens,3,
2023-10-14,Buffalo Sabres,2,New York Islanders,3,
2023-10-14,Philadelphia Flyers,2,Ottawa Senators,5,
2023-10-14,Calgary Flames,2,Pittsburgh Penguins,5,
2023-10-14,Colorado Avalanche,2,San Jose Sharks,1,SO
2023-10-14,Seattle Kraken,1,St. Louis Blues,2,SO
2023-10-14,Minnesota Wild,4,Toronto Maple Leafs,7,
2023-10-14,Anaheim Ducks,1,Vegas Golden Knights,4,
2023-10-14,Florida Panthers,4,Winnipeg Jets,6,
2023-10-15,Carolina Hurricanes,3,Anaheim Ducks,6,
2023-10-15,Tampa Bay Lightning,2,Ottawa Senators,5,
2023-10-16,Detroit Red Wings,4,Columbus Blue Jackets,0,
2023-10-16,Florida Panthers,4,New Jersey Devils,3,
2023-10-16,Arizona Coyotes,1,New York Rangers,2,
2023-10-16,Chicago Blackhawks,4,Toronto Maple Leafs,1,
2023-10-16,Calgary Flames,2,Washington Capitals,3,SO
2023-10-17,Tampa Bay Lightning,2,Buffalo Sabres,3,OT
2023-10-17,Minnesota Wild,5,Montreal Canadiens,2,
2023-10-17,Edmonton Oilers,6,Nashville Predators,1,
